# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 9.957s, Samples: 301
# Max Linear Vel: 0.476 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 4.237 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 0.730m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
7.624681 0.533652 -0.128379 0.459012 0.000000 0.000000 0.000000
7.655752 0.534586 -0.131747 0.458200 0.000000 0.000000 0.000000
7.686873 0.535207 -0.134068 0.457523 0.000000 0.000000 0.000000
7.717309 0.536138 -0.137471 0.456641 0.000000 0.000000 0.000000
7.764254 0.536757 -0.139828 0.455895 0.000000 0.000000 0.000000
7.796500 0.537609 -0.143112 0.454800 0.000000 0.000000 0.000000
7.826254 0.538501 -0.146625 0.453529 0.000000 0.000000 0.000000
7.857816 0.539139 -0.149265 0.452403 0.000000 0.000000 0.000000
7.890022 0.539581 -0.151308 0.451266 0.000000 0.000000 0.000000
7.919816 0.539630 -0.152249 0.449943 0.000000 0.000000 0.000000
7.951640 0.539617 -0.152855 0.448859 0.000000 0.000000 0.000000
7.982706 0.539326 -0.152691 0.447627 0.000000 0.000000 0.000000
8.014446 0.538533 -0.150709 0.446840 0.000000 0.000000 0.000000
8.046638 0.537248 -0.147056 0.446313 0.000000 0.000000 0.000000
8.110686 0.536329 -0.144534 0.445782 0.000000 0.000000 0.000000
8.139250 0.534898 -0.139906 0.446129 0.000000 0.000000 0.000000
8.167311 0.533910 -0.136884 0.446077 0.000000 0.000000 0.000000
8.202197 0.532442 -0.131922 0.446794 0.000000 0.000000 0.000000
8.233767 0.530497 -0.125266 0.447880 0.000000 0.000000 0.000000
8.264679 0.528975 -0.120112 0.448642 0.000000 0.000000 0.000000
8.296015 0.526931 -0.113188 0.449665 0.000000 0.000000 0.000000
8.327543 0.524871 -0.106261 0.450609 0.000000 0.000000 0.000000
8.361149 0.523324 -0.100999 0.451420 0.000000 0.000000 0.000000
8.391213 0.521645 -0.095324 0.452240 0.000000 0.000000 0.000000
8.422270 0.520052 -0.089891 0.453103 0.000000 0.000000 0.000000
8.453148 0.518618 -0.085128 0.453658 0.000000 0.000000 0.000000
8.513808 0.517583 -0.081743 0.453977 0.000000 0.000000 0.000000
8.546854 0.516779 -0.079363 0.453803 0.000000 0.000000 0.000000
8.578095 0.516131 -0.077495 0.453579 0.000000 0.000000 0.000000
8.608311 0.515785 -0.076914 0.452758 0.000000 0.000000 0.000000
8.640330 0.515773 -0.077447 0.451804 0.000000 0.000000 0.000000
8.670419 0.515740 -0.077816 0.451014 0.000000 0.000000 0.000000
8.702588 0.516013 -0.079360 0.449837 0.000000 0.000000 0.000000
8.731646 0.516736 -0.082516 0.448288 0.000000 0.000000 0.000000
8.763100 0.517396 -0.085325 0.446997 0.000000 0.000000 0.000000
8.794327 0.518452 -0.089253 0.445881 0.000000 0.000000 0.000000
8.825917 0.519706 -0.093370 0.445471 0.000000 0.000000 0.000000
8.857441 0.520584 -0.096262 0.445166 0.000000 0.000000 0.000000
8.888982 0.521523 -0.098996 0.445448 0.000000 0.000000 0.000000
8.919639 0.522444 -0.101235 0.446467 0.000000 0.000000 0.000000
8.950929 0.523150 -0.102920 0.447296 0.000000 0.000000 0.000000
8.982020 0.523816 -0.104119 0.448736 0.000000 0.000000 0.000000
9.013636 0.524438 -0.105078 0.450353 0.000000 0.000000 0.000000
9.044881 0.524951 -0.105864 0.451691 0.000000 0.000000 0.000000
9.076644 0.525533 -0.106780 0.453172 0.000000 0.000000 0.000000
9.107606 0.526311 -0.108584 0.454175 0.000000 0.000000 0.000000
9.138360 0.526858 -0.109731 0.455085 0.000000 0.000000 0.000000
9.169342 0.527684 -0.111846 0.455818 0.000000 0.000000 0.000000
9.215956 0.528680 -0.114864 0.455920 0.000000 0.000000 0.000000
9.262260 0.529330 -0.116890 0.455887 0.000000 0.000000 0.000000
9.292832 0.530260 -0.120145 0.455248 0.000000 0.000000 0.000000
